nome,data,alta,baixa,abertura,fechamento,volume,capitalizacao_de_mercado,valorizacao,ano,dia_semana,retorno_acumulado,mudanca_preco
Litecoin,2019-09-09,70.8087203768,68.5150368722,70.619391981,70.192236678,2654086135,4437564022,-0.42715530300000637,2019,Segunda-feira,15.011367510023549,-0.005062116893283286
Litecoin,2019-09-10,72.6729300325,70.0732443196,70.1321063315,70.8233944117,2893715133,4477994431,0.6912880801999961,2019,Terça-feira,15.15533924976769,0.008991845303282897
Litecoin,2019-09-11,71.4137626027,68.974839025,70.8761452947,69.9221432504,2569282757,4421472828,-0.9540020442999975,2019,Quarta-feira,14.94975720472463,-0.01272533135112075
Litecoin,2019-09-12,70.1485265617,68.7384150123,69.9585736361,69.225073175,2316445209,4377939287,-0.7335004610999931,2019,Quinta-feira,14.790750373119174,-0.009969232105825121
Litecoin,2019-09-13,69.7176588051,67.9133960208,69.2332067522,68.9886186746,2368931048,4363467464,-0.24458807759999956,2019,Sexta-feira,14.736813355516057,-0.0034157349289071215
Litecoin,2019-09-14,71.1603955272,68.4862410964,69.0219539922,70.5623041408,2439744085,4463527330,1.5403501485999982,2019,Sábado,15.095782630994467,0.022810798308959157
Litecoin,2019-09-15,71.2312049331,69.9715983802,70.5872164693,70.3151768163,2330572400,4448378327,-0.2720396530000073,2019,Domingo,15.039411063402314,-0.0035022570125670116
Litecoin,2019-09-16,73.2695810144,70.1119595683,70.3233201671,72.5731088494,2652253522,4591727205,2.2497886823000073,2019,Segunda-feira,15.55446203350411,0.032111588640371336
Litecoin,2019-09-17,76.6370801931,72.4190519211,72.5910735248,74.2212287374,3104946341,4696563797,1.6301552126000018,2019,Terça-feira,15.930410350244637,0.02270978760769493
Litecoin,2019-09-18,79.6552212293,74.1499416163,74.2285195219,77.969133904,3665577129,4934275012,3.7406143821000057,2019,Quarta-feira,16.785335194575136,0.05049640420074919
Litecoin,2019-09-19,78.0499232829,73.3831685627,77.9192698904,77.0596237469,3778427056,4877292702,-0.8596461435000009,2019,Quinta-feira,16.577869211602813,-0.011665002694782323
Litecoin,2019-09-20,77.0486693879,73.8720901251,76.9578419291,75.149092387,3148504140,4756922829,-1.8087495421000028,2019,Sexta-feira,16.142062900384754,-0.02479289759024894
Litecoin,2019-09-21,75.5663070777,72.907057278,75.1818166733,73.5165287108,2572614027,4654112106,-1.6652879625000025,2019,Sábado,15.76966307042826,-0.021724329919949992
Litecoin,2019-09-22,73.5501185338,71.8026036637,73.5092521612,72.6161221419,2494428147,4597645596,-0.8931300193000027,2019,Domingo,15.5642736831484,-0.012247675246501832
Litecoin,2019-09-23,74.0531041547,64.3250484291,72.6132108664,66.8518935239,3215899051,4233164124,-5.761317342499993,2019,Segunda-feira,14.249410570323274,-0.07937946075853575
Litecoin,2019-09-24,67.6066411046,55.8236396096,66.8441154893,55.8236396096,3919809840,3535218521,-11.020475879699994,2019,Terça-feira,11.733784416027255,-0.1649654681861379
